"running_HR_25p","running_HR_max","running_HR_75p","running_HR_mean","training_RPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_HRrest","training_daypart_evening","training_daypart_morning","training_session_Ext interval","training_session_Ext tempo","training_session_Fartlek","training_session_Int endurance","training_session_Int interval","training_session_Int tempo","readiness_notready","TRIMP","SHRZ","wellness","HRR"
145,162.8514,152,138.258238063215,"3",2,2,3.5,3.5,3.5,58,0,1,0,0,0,0,0,0,0,3412.67417619369,61.2691734372929,2.9,104.8514
153,187,163,143.416962699822,"6",2.5,2.5,3.5,3,3.5,57,0,1,0,0,0,0,0,1,0,5325.54988158672,106.135798421809,3,130
150,172.8424,165,143.42041851617,"4",2.5,2.5,2.5,2.5,3,55,0,0,0,0,0,0,0,0,0,3702.63713802579,65.3736571371567,2.6,117.8424
146,161,153,139.830314009662,"4",3.5,2.5,2.5,3,3,56,1,0,0,0,0,0,0,0,0,3791.73201489533,64.5324434711826,2.9,105
153,167,158,145.984732824427,"5",3,2.5,2.5,3,3,59,0,0,0,0,0,1,0,0,0,11617.951653944,187.739842035982,2.8,108
161,167.8988,163,154.143139190523,"4",2.5,2.5,2.5,2.5,3,57,0,1,0,0,0,0,0,0,0,2538.22369200394,35.7169206003158,2.6,110.8988
157,174,171,151.467399842891,"4",2.5,2.5,2.5,2.5,3,65,0,0,0,0,0,0,0,0,1,6427.26666666667,101.6330241143,2.6,109
156,169,161,151.253302845528,"4",4,4,3.5,3.5,3.5,64,0,0,0,0,0,0,0,0,0,9657.52338668696,145.989602508816,3.7,105
156,164,158,152.062807209175,"4",3.5,3.5,3.5,3.5,3.5,61,0,0,0,0,0,1,0,0,0,9207.40297651554,130.125957711592,3.5,103
165,175,169,144.511098779134,"5",3,2.5,3,2.5,3,63,0,1,0,0,0,1,0,0,0,7791.55674250831,140.759563280525,2.8,112
162,173,164,152.559484193012,"6",3.5,3,2.5,3,2.5,61,0,0,0,0,0,1,0,0,1,5977.78912229619,91.0688106953067,2.9,112
156,164,159,149.16882857713,"4",3.5,3.5,3.5,3,3,61,0,1,0,0,0,0,0,0,0,12331.2898290427,183.48737221244,3.3,103
161,172,165,152.606504809895,"4",3,3,3,3,3,58,0,1,0,0,0,0,0,0,0,10809.6274240342,162.17172414127,3,114
142,153,147,136.50658105939,"4",2.5,2.5,3,3,3,59,0,1,0,0,0,0,0,0,0,6995.96227929374,118.09642323129,2.8,94
164,179,167,151.642542982807,"5",2.5,2.5,2.5,2.5,3,59,0,1,0,0,0,1,0,0,0,6126.3587365054,99.4273225175766,2.6,120
148,158,151,140.617014233697,"4",3.5,3,3,2.5,3.5,56,0,0,0,0,0,1,0,0,0,7016.78901026148,114.286944387939,3.1,102
150,158,154,143.651930609961,"6",3.5,3.5,3,3,3,59,1,0,0,0,0,0,0,0,0,4266.46233911584,65.9945964580591,3.2,99
143,156.8338,151,136.711365003007,"4",2.5,2.5,3,2.5,3,61,0,1,0,0,0,0,0,0,0,3702.59946883144,65.1348397272211,2.7,95.8338
153,165,160,145.268501202244,"5",2,2,2.5,2,3,62,1,0,0,0,0,1,0,0,1,8967.90880755186,145.087435931989,2.3,103
171,177,175,159.987331081081,"6",2,2.5,2.5,2.5,3,62,0,1,0,0,0,1,0,0,0,6103.51668074324,85.0699259591267,2.5,115
150,163,151,143.162493863525,"5",2,2,2,3,3,62,0,1,0,0,0,1,0,0,1,4843.66437571593,79.9952830131615,2.4,101
164,174,170,149.713927576602,"6",2.5,2,2,2.5,3,58,0,1,0,0,0,1,0,0,1,8820.64556638814,141.584093893348,2.4,116
163,170,167,156.542719614922,"5",2.5,2.5,2.5,2.5,3,60,0,1,0,1,0,0,0,0,0,4166.64538708384,57.6209511760379,2.6,110
