"id","start_date","start_time","end_time","summary_duration","summary_distance","summary_speed","time","running_HR_25p","running_speed_max","running_speed_mean","running_HR_max","running_HR_75p","running_HR_mean","training_daypart","training_session","training_duration","training_RPE","training_sRPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_readiness_train","daily_HRrest","TRIMP","SHRZ","wellness"
517192,2022-07-17,"08:21:37","09:08:21",2804,8413.4,3,2812,158,3.75492999999999,2.99719772403983,161,160,150.767780938834,"morning","Int endurance",47,"5",235,3,2.5,2.5,2.5,3,3,60,150.933747516539,98.8029736312497,2.7
521165,2022-07-25,"16:56:25","17:41:25",2700,7257.2,2.688,2772,157,3.24529,2.61887445887446,164,159,149.191919191919,"afternoon","Ext endurance",45,"4",180,2.5,2,3,2.5,3,3,58,129.241240558011,99.3838059370848,2.6
522365,2022-07-28,"07:06:56","07:35:04",1688,4827.6,2.86,1698,143,3.35206,2.8372308598351,154,145,139.242049469965,"morning","Ext endurance",28,"3",84,2.5,2.5,3,2.5,3.5,3,60,62.0345316748052,63.4084222574002,2.8
524679,2022-07-29,"20:06:37","20:45:39",2342,7122.3,3.041,2352,153,3.61852,3.02354278416347,165,155,149.409535972754,"evening","Int endurance",39,"4",156,2.5,2.5,3.5,2.5,3.5,3,60,109.105259660992,87.0952959913918,2.9
528199,2022-08-02,"07:05:28","07:50:01",2673,7212.9,2.698,2706,150,3.2647,2.66551515151515,161,154,143.312638580931,"morning","Ext endurance",45,"4",180,2.5,2.5,3.5,3,3.5,3,59,115.231764958547,102.402085207101,3
570433,2022-09-19,"15:35:42","16:06:10",1828,4680,2.56,1828,178,4.55225,2.56166849015317,199,190,167.989606126915,"afternoon","Int interval",31,"7",217,3.5,2,2.5,3,3,3,63,66.2714218687437,74.9844385276578,2.8
575833,2022-09-26,"17:15:13","17:49:32",2059,5359,2.603,2081,153,3.20608,2.58308674698795,166,156,144.719036144578,"afternoon","Ext endurance",35,"3",105,3.5,2.5,3.5,3,3,3,62,80.4409656143316,81.975971304615,3.1
643632,2022-12-22,"10:55:42","11:42:00",2778,7342.4,2.643,3344,163,3.33668,2.25047352310989,174,169,153.824609733701,"morning","Int endurance",47,"4",188,2.5,2.5,3.5,3,3.5,3.5,61,117.845653165243,107.090242862513,3
646446,2022-12-28,"09:23:19","09:52:03",1724,5015.3,2.909,1724,155,3.75201,2.90250870069606,165,157,151.682134570766,"morning","Int endurance",29,"4",116,3.5,3.5,4,3,3.5,3.5,64,84.5376615799133,62.8854064018767,3.5
647595,2022-12-31,"09:30:00","09:56:13",1573,4564.6,2.902,1573,169,3.32148,2.91132928388747,183,172,161.520460358056,"morning","Int tempo",27,"7",189,3.5,3,4,3.5,4,3.5,60,67.5517429192252,60.3507409086903,3.6
648878,2023-01-02,"11:03:39","11:55:38",3119,8612.3,2.761,3155,155,3.12146,2.72584912836767,166,157,149.639302694136,"morning","Ext endurance",52,"4",208,4.5,3.5,4,3.5,3.5,3.5,60,142.685958609679,116.795233995258,3.8
650419,2023-01-04,"16:53:42","17:19:39",1557,4527.3,2.908,1560,161,6.41625,2.88550384615385,176,166,154.669230769231,"afternoon","Int interval",26,"7",182,4,4,3.5,3,4,3.5,61,64.6243341826622,60.5329514658781,3.7
653830,2023-01-11,"19:11:56","19:34:55",1379,4203.1,3.048,1385,154,3.75244,3.03461083032491,174,158,147.06714801444,"evening","Ext endurance",23,"5",115,2,2,2.5,3,3,3,56,49.9571309725955,56.5831196615082,2.5
654958,2023-01-13,"09:22:26","10:35:23",4377,11391,2.602,4469,157,3.154,2.55011862130707,169,160,149.568039391227,"morning","Ext endurance",73,"5",365,3.5,3,2.5,2.5,3.5,3.5,57,188.634807688798,167.70107806206,3
655993,2023-01-15,"16:13:40","16:40:22",1602,4487,2.801,1609,152,3.48588,2.78886389061529,161,156,147.2218769422,"afternoon","Ext endurance",27,"5",135,3.5,3,2,2,3,3,56,78.7098288770686,58.3922429416254,2.7
657053,2023-01-17,"19:38:18","20:05:11",1613,4737.9,2.937,1624,151,3.69085,2.92006834975369,162,154,145.100369458128,"evening","Ext endurance",27,"5",135,4,3,2,3,3,3,56,72.6343016458979,60.7663398733463,3
